name: 3fd67e4b-61d1-42ea-a429-1538b65eb0b1 num_items: 4121
token, class_id, token_value, token_tf, token_df
шоппинг, @default_class, 5.192651315155672e-06, 19.0, 16.0
зато, @default_class, 0.0001106854688259773, 405.0, 333.0
priority, @default_class, 2.213709376519546e-05, 81.0, 42.0
условно, @default_class, 4.31809967267327e-05, 158.0, 105.0
username, @default_class, 0.00011724460637196898, 429.0, 95.0
правило, @default_class, 0.0005933287320658565, 2171.0, 981.0
experience, @default_class, 1.4758062206965405e-05, 54.0, 37.0
выгорать, @default_class, 5.465949016070226e-06, 20.0, 16.0
обида, @default_class, 4.099461875739507e-06, 15.0, 14.0
план, @default_class, 0.00043700262904167175, 1599.0, 799.0
кассета, @default_class, 9.565410437062383e-06, 35.0, 14.0
апелляция, @default_class, 3.5528667012840742e-06, 13.0, 11.0
salt, @default_class, 4.6187269617803395e-05, 169.0, 13.0
финтех, @default_class, 1.2025087926303968e-05, 44.0, 23.0
акцентировать, @default_class, 7.1057334025681484e-06, 26.0, 25.0
палка, @default_class, 1.1751790225389414e-05, 43.0, 39.0
атс, @default_class, 2.5963257940020412e-05, 95.0, 31.0
продиктовать, @default_class, 4.646056368073914e-06, 17.0, 16.0
бесплатно, @default_class, 9.538081212667748e-05, 349.0, 242.0
partition, @default_class, 1.366487231280189e-05, 50.0, 23.0
закодировать, @default_class, 1.639784750295803e-05, 60.0, 41.0
повреждение, @default_class, 4.755375630338676e-05, 174.0, 108.0
чума, @default_class, 5.192651315155672e-06, 19.0, 12.0
clr, @default_class, 8.745518243813422e-06, 32.0, 21.0
кульминация, @default_class, 3.006271981575992e-06, 11.0, 11.0
прошлый, @default_class, 0.00020688616496045142, 757.0, 573.0
стыковка, @default_class, 3.279569455116871e-06, 12.0, 10.0
нарекание, @default_class, 4.372759121906711e-06, 16.0, 15.0
верить, @default_class, 9.346773003926501e-05, 342.0, 251.0
миллионный, @default_class, 6.559138910233742e-06, 24.0, 22.0
лежать, @default_class, 0.00017436376947443932, 638.0, 487.0
заново, @default_class, 5.848565342603251e-05, 214.0, 176.0
банально, @default_class, 1.9130820874124765e-05, 70.0, 66.0
действенный, @default_class, 6.832436156400945e-06, 25.0, 24.0
потратить, @default_class, 0.00014211467350833118, 520.0, 360.0
последовательность, @default_class, 0.0001076791959349066, 394.0, 246.0
ребята, @default_class, 0.00011560481652850285, 423.0, 235.0
калибровка, @default_class, 1.7491036487626843e-05, 64.0, 37.0
рубль, @default_class, 0.0002749372215475887, 1006.0, 283.0
беседовать, @default_class, 3.279569455116871e-06, 12.0, 11.0
глупый, @default_class, 1.7491036487626843e-05, 64.0, 57.0
децентрализовать, @default_class, 7.92562605056446e-06, 29.0, 23.0
york, @default_class, 1.2844980119552929e-05, 47.0, 38.0
кирпич, @default_class, 9.018815944727976e-06, 33.0, 23.0
ida, @default_class, 7.1057334025681484e-06, 26.0, 14.0
бизнесмен, @default_class, 1.667114338488318e-05, 61.0, 46.0
место, @default_class, 0.0009404165321029723, 3441.0, 1589.0
отдыхать, @default_class, 2.9242826713016257e-05, 107.0, 80.0
недвусмысленный, @default_class, 3.279569455116871e-06, 12.0, 11.0
наглядность, @default_class, 2.4870067136362195e-05, 91.0, 78.0
госпиталь, @default_class, 9.838708137976937e-06, 36.0, 14.0
hdd, @default_class, 3.9901427953736857e-05, 146.0, 62.0
навещать, @default_class, 4.099461875739507e-06, 15.0, 15.0
предлагаться, @default_class, 5.957884422969073e-05, 218.0, 188.0
кибератака, @default_class, 1.5577954400214367e-05, 57.0, 23.0
четва, @default_class, 3.4708777093328536e-05, 127.0, 93.0
эра, @default_class, 2.377687815169338e-05, 87.0, 66.0
латинский, @default_class, 1.0931898032140452e-05, 40.0, 32.0
взаимозаменяемый, @default_class, 4.099461875739507e-06, 15.0, 13.0
проектироваться, @default_class, 8.472220542898867e-06, 31.0, 28.0
полином, @default_class, 1.3118277820467483e-05, 48.0, 10.0
sqlite, @default_class, 1.585125210112892e-05, 58.0, 32.0
честный, @default_class, 4.810035170521587e-05, 176.0, 133.0
лето, @default_class, 5.657257133862004e-05, 207.0, 168.0
разностный, @default_class, 5.192651315155672e-06, 19.0, 10.0
трогать, @default_class, 2.0224011677782983e-05, 74.0, 63.0
предохранять, @default_class, 3.279569455116871e-06, 12.0, 12.0
сильный, @default_class, 0.00016288527694996446, 596.0, 426.0
совесть, @default_class, 9.292112736147828e-06, 34.0, 34.0
недоступный, @default_class, 5.7119166740449145e-05, 209.0, 188.0
