name: eb4124ef-f069-46ee-8628-d4093f51cba9 num_items: 4121
token, class_id, token_value, token_tf, token_df
nvarchar, @default_class, 1.3126460544299334e-05, 43.0, 10.0
искра, @default_class, 5.189530838833889e-06, 17.0, 10.0
преображать, @default_class, 3.3579317459953018e-06, 11.0, 10.0
that_you, @default_class, 4.27373106504092e-06, 14.0, 10.0
племя, @default_class, 7.631662811036222e-06, 25.0, 12.0
clustered, @default_class, 7.326396371354349e-06, 24.0, 12.0
сажать, @default_class, 5.189530838833889e-06, 17.0, 15.0
avx, @default_class, 1.6789657820481807e-05, 55.0, 11.0
многогранный, @default_class, 3.3579317459953018e-06, 11.0, 11.0
практичный, @default_class, 1.1905393876077142e-05, 39.0, 38.0
push_уведомление, @default_class, 1.1905393876077142e-05, 39.0, 24.0
розничный_торговля, @default_class, 4.27373106504092e-06, 14.0, 11.0
игровой_консоль, @default_class, 7.631662811036222e-06, 25.0, 19.0
гугл, @default_class, 4.701104262494482e-05, 154.0, 101.0
исправлять_ошибка, @default_class, 1.8621258277562447e-05, 61.0, 46.0
жалоба, @default_class, 3.327404920128174e-05, 109.0, 64.0
автодополнение, @default_class, 7.936929250718094e-06, 26.0, 15.0
книжный, @default_class, 7.631662811036222e-06, 25.0, 23.0
флуктуация, @default_class, 1.0073795237985905e-05, 33.0, 11.0
появление_новый, @default_class, 1.587385850143619e-05, 52.0, 48.0
специализироваться_разработка, @default_class, 3.6631981856771745e-06, 12.0, 12.0
резюмировать, @default_class, 9.46326235862216e-06, 31.0, 29.0
man, @default_class, 2.4116054191836156e-05, 79.0, 48.0
почта_mail, @default_class, 9.157995918940287e-06, 30.0, 15.0
снижение_затрата, @default_class, 3.3579317459953018e-06, 11.0, 11.0
грузить, @default_class, 8.852729479258414e-06, 29.0, 27.0
естественный, @default_class, 6.624283560086042e-05, 217.0, 167.0
привилегированный, @default_class, 4.5789979594701435e-06, 15.0, 10.0
противоположный, @default_class, 2.5947654648916796e-05, 85.0, 75.0
полтора_месяц, @default_class, 3.6631981856771745e-06, 12.0, 10.0
значок, @default_class, 3.113718412350863e-05, 102.0, 54.0
здравствовать, @default_class, 2.350552131247241e-05, 77.0, 64.0
might, @default_class, 5.494797278515762e-06, 18.0, 13.0
распространение, @default_class, 9.371682244818658e-05, 307.0, 212.0
return_this, @default_class, 6.07480360486079e-05, 199.0, 45.0
ридер, @default_class, 3.205298344255425e-05, 105.0, 10.0
there, @default_class, 2.625292108859867e-05, 86.0, 54.0
компилироваться, @default_class, 2.2894988433108665e-05, 75.0, 62.0
разный_род, @default_class, 2.0758123355335556e-05, 68.0, 60.0
смущать, @default_class, 1.1294860996713396e-05, 37.0, 35.0
powerpc, @default_class, 6.7158634919906035e-06, 22.0, 12.0
иконка, @default_class, 9.463261812925339e-05, 310.0, 119.0
локализовать, @default_class, 2.4116054191836156e-05, 79.0, 38.0
юзер, @default_class, 3.9379381632898e-05, 129.0, 76.0
deps, @default_class, 7.021129931672476e-06, 23.0, 10.0
поле_зрение, @default_class, 1.9231791156926192e-05, 63.0, 44.0
периферийный_устройство, @default_class, 3.968464625359047e-06, 13.0, 12.0
источник, @default_class, 0.0003455617115832865, 1132.0, 667.0
распоряжение, @default_class, 1.9231791156926192e-05, 63.0, 56.0
человеческий_фактор, @default_class, 1.4347526303026825e-05, 47.0, 42.0
комбинирование, @default_class, 6.105330157879507e-06, 20.0, 17.0
замещение, @default_class, 5.494797278515762e-06, 18.0, 13.0
удобный, @default_class, 0.00023932894691824913, 784.0, 590.0
миллиард, @default_class, 4.548471042653546e-05, 149.0, 112.0
интуиция, @default_class, 2.1979189114063047e-05, 72.0, 36.0
вступление, @default_class, 1.80107253981987e-05, 59.0, 50.0
растягиваться, @default_class, 1.0073795237985905e-05, 33.0, 30.0
скакать, @default_class, 4.5789979594701435e-06, 15.0, 14.0
рыбалка, @default_class, 3.6631981856771745e-06, 12.0, 10.0
ураган, @default_class, 1.0073795237985905e-05, 33.0, 13.0
кнопочка, @default_class, 1.4347526303026825e-05, 47.0, 36.0
предиктивный, @default_class, 5.189530838833889e-06, 17.0, 14.0
перевод_русский, @default_class, 4.884264399152016e-06, 16.0, 14.0
вариативность, @default_class, 6.105330157879507e-06, 20.0, 15.0
нерв, @default_class, 2.3810787752154283e-05, 78.0, 61.0
стив_джобс, @default_class, 1.1600127436395269e-05, 38.0, 24.0
автоматика, @default_class, 1.4347526303026825e-05, 47.0, 26.0
встраивать, @default_class, 0.00014194892719388008, 465.0, 344.0
последовательный_порт, @default_class, 1.1600127436395269e-05, 38.0, 11.0
полигон, @default_class, 2.8084519726689905e-05, 92.0, 32.0
девяностый, @default_class, 6.105330157879507e-06, 20.0, 19.0
акселератор, @default_class, 4.5789979594701435e-06, 15.0, 13.0
кастомный, @default_class, 4.0600447391625494e-05, 133.0, 90.0
исполнение, @default_class, 0.0001102012101910077, 361.0, 210.0
поставляться, @default_class, 3.60214507963974e-05, 118.0, 97.0
партна_ром, @default_class, 3.6631981856771745e-06, 12.0, 10.0
близкий_время, @default_class, 3.907411519321613e-05, 128.0, 118.0
hololens, @default_class, 8.852729479258414e-06, 29.0, 11.0
компонент, @default_class, 0.0006322069675661623, 2071.0, 612.0
учебный_пособие, @default_class, 4.27373106504092e-06, 14.0, 13.0
дерево, @default_class, 0.00018499151337891817, 606.0, 236.0
making, @default_class, 9.768528798304033e-06, 32.0, 24.0
рефлексия, @default_class, 7.631662811036222e-06, 25.0, 12.0
кнут, @default_class, 1.1600127436395269e-05, 38.0, 22.0
продаксить, @default_class, 1.7400190699845552e-05, 57.0, 38.0
обзор_даджет, @default_class, 5.189530838833889e-06, 17.0, 17.0
three, @default_class, 1.5568592061754316e-05, 51.0, 16.0
разборка, @default_class, 8.242195690399967e-06, 27.0, 23.0
назревать, @default_class, 3.6631981856771745e-06, 12.0, 12.0
совместимость, @default_class, 5.830590453115292e-05, 191.0, 133.0
пониматься, @default_class, 1.5263325622072443e-05, 50.0, 46.0
кривой, @default_class, 3.7547782994806767e-05, 123.0, 86.0
урл, @default_class, 8.852729479258414e-06, 29.0, 13.0
соратник, @default_class, 6.105330157879507e-06, 20.0, 16.0
ведомо, @default_class, 3.968464625359047e-06, 13.0, 13.0
дебаг, @default_class, 9.46326235862216e-06, 31.0, 24.0
пластика, @default_class, 2.5031855329871178e-05, 82.0, 33.0
здочка, @default_class, 5.189530838833889e-06, 17.0, 15.0
критический, @default_class, 5.3421641496242955e-05, 175.0, 131.0
